factor,p_value
alpha042,8.280542122086485e-06
alpha005,0.0019038558324629626
alpha006,6.817753527912628e-06
alpha040,3.089560029033879e-06
alpha071,0.0034453647880859917
alpha050,0.0003691885964888312
alpha003,5.150152750116869e-08
alpha088,4.863774956743461e-05
alpha057,0.0031340211107690028
alpha016,1.616352065097452e-06
alpha015,1.122376864697826e-06
alpha013,0.0002812702765180088
alpha041,0.00010895089826382829
alpha084,0.008865665880293921
alpha011,0.014380172680711473
alpha066,0.004519186442049734
alpha094,0.05837654266190013
alpha014,0.01107171172710936
alpha026,0.08726618139245558
alpha096,0.0013841535483829865
alpha077,0.0021253479869425894
alpha078,0.0005825900280249128
alpha054,0.0201253095941999
alpha072,0.00030115586939689107
alpha018,0.10395292775858378
alpha044,0.17157028679493466
alpha031,0.020570613388526435
alpha007,0.2171268513570058
alpha020,0.061338697054389234
alpha023,0.3243238765830829
alpha098,0.39425870042423217
alpha028,0.035413712521286146
alpha051,0.07425755087181624
alpha049,0.058168692887887515
alpha022,2.9188663680811496e-05
alpha045,0.04450263551496817
alpha035,0.01608599274231418
alpha001,0.44457259105116076
alpha008,0.47244338460065005
alpha047,0.0001446839557763832
alpha092,0.4642294562192051
alpha055,0.4820166632283499
alpha043,0.19123194522689804
alpha009,0.2177440344936905
alpha024,0.533631081063066
alpha017,0.32978338842677757
alpha004,0.6983834696360496
alpha060,0.5102602508634121
alpha025,0.5004674599476415
alpha037,0.46180019528780025
alpha038,0.6140962934777519
alpha029,0.44364873684900297
alpha034,0.5542441541408089
alpha085,0.9557757272632824
alpha046,0.7396831703885257
alpha030,0.7556093522888995
alpha002,0.9025517841243579
alpha033,0.6674037604546181
alpha010,0.8088395573822895
alpha083,0.9515431834565544
alpha101,0.826927465924367
alpha073,0.9997978203517066
alpha012,0.9732274302764774
alpha053,0.9687266697400896
Passed Factors,"alpha042, alpha005, alpha006, alpha040, alpha071, alpha050, alpha003, alpha088, alpha057, alpha016, alpha015, alpha013, alpha041, alpha084, alpha011, alpha066, alpha014, alpha096, alpha077, alpha078, alpha054, alpha072, alpha031, alpha028, alpha022, alpha045, alpha035, alpha047"
