factor,mean_ic,IR,QR_diff,Turnover,p_value,p_score,score
alpha042,0.018208489853107655,0.2031289771005007,0.0006538177730295532,0.13610124071087046,8.280542122086485e-06,0.9999917194578779,0.22824322604240949
alpha005,0.026330642199141156,0.1448130181910336,0.00042629991152424437,0.18115805785078418,0.0019038558324629626,0.998096144167537,0.2062587923431991
alpha006,0.060232687685072145,0.1937225869502122,0.0002067833581703645,0.36773550724637677,6.817753527912628e-06,0.999993182246472,0.18998171033047423
alpha040,0.04096996044216935,0.21900518674789368,-3.68302780759689e-05,0.4229437970209084,3.089560029033879e-06,0.999996910439971,0.18039704342571306
alpha071,0.019546868057337873,0.14052628340936424,0.0013659934441002588,0.29999584589374273,0.0034453647880859917,0.996554635211914,0.17960324441912984
alpha050,0.014823281844761903,0.16167599842429026,0.0005576183515156772,0.34833333333333333,0.0003691885964888312,0.9996308114035112,0.1744958393516018
alpha003,0.020492559526472585,0.24941185504999763,-0.0001387613852763809,0.4709782608695652,5.150152750116869e-08,0.9999999484984725,0.17325268889284376
alpha088,0.02713456554280028,0.1889274789692711,0.00024087270081442336,0.4621184397879302,4.863774956743461e-05,0.9999513622504326,0.1616302701606812
alpha057,0.011465487899981143,0.14824459184887867,-2.8493564362430256e-05,0.41613594688374195,0.0031340211107690028,0.996865978889231,0.15606782762544028
alpha016,0.023031809785578724,0.22169239559315507,6.527092678321422e-05,0.5319453000586158,1.616352065097452e-06,0.9999983836479349,0.15480472224790393
alpha015,0.02006988524064997,0.22229742218957063,-3.419336699915358e-05,0.5918840579710145,1.122376864697826e-06,0.9999988776231353,0.1422079521145795
alpha013,0.01660638453904707,0.1670118516817546,-8.23385070072136e-06,0.5298988344434119,0.0002812702765180088,0.999718729723482,0.1398668913410743
alpha041,-0.014004241429702384,-0.175890792868184,-0.0006594475743532757,0.1331639035791879,0.00010895089826382829,0.9998910491017362,0.12573978101516742
alpha084,0.03733142788732966,0.12490089922960004,0.001345875284061083,0.6170066266660604,0.008865665880293921,0.9911343341197061,0.11565279832677376
alpha011,0.01607617628912944,0.11177595757327478,-7.647912544904868e-05,0.5832702007300513,0.014380172680711473,0.9856198273192885,0.1124176629583587
alpha066,0.011102014298071478,0.13544661781343537,0.00036131417510973254,0.626406360224808,0.004519186442049734,0.9954808135579503,0.1105243115295271
alpha094,0.016884398009139965,0.08857268596361281,0.0008411474755080927,0.5277514643703932,0.05837654266190013,0.9416234573380998,0.10930689908183115
alpha014,0.016555864024630784,0.11640686427706319,-0.0017765246554222792,0.6471212825181771,0.01107171172710936,0.9889282882728906,0.10124677829528173
alpha026,-0.02269384762206058,-0.07304510050520917,-0.00011794269068270385,0.3257971014492754,0.08726618139245558,0.9127338186075444,0.09342901786169985
alpha096,-0.03802072611800184,-0.1382079904904193,-0.0010003402511988672,0.4151992753623189,0.0013841535483829865,0.998615846451617,0.07242606701551457
alpha077,-0.02433967335570535,-0.14818807210215737,0.000646646229439309,0.42415973439817456,0.0021253479869425894,0.9978746520130574,0.07174037640439876
alpha078,-0.043926368874366906,-0.1475262030126858,-0.00012140052470273143,0.4048188405797101,0.0005825900280249128,0.999417409971975,0.07103229080174928
alpha054,0.017058823860518334,0.10511671020361223,0.002801130859638125,0.8194326135820471,0.0201253095941999,0.9798746904058001,0.06319252505271086
alpha072,-0.047512321753230446,-0.16689569958572337,-0.0013525398275696218,0.42012681159420295,0.00030115586939689107,0.9996988441306031,0.062041893207027646
alpha018,0.012209068890937544,0.07435711774609083,-0.0014822256813726334,0.7035157548625632,0.10395292775858378,0.8960470722414162,0.05985136499875318
alpha044,0.006656617665896302,0.06172721260921063,-0.0006052012020456743,0.621286231884058,0.17157028679493466,0.8284297132050653,0.05840361359256907
alpha031,-0.016493826888054758,-0.11144125432360472,-0.0011795186048235628,0.537361458840718,0.020570613388526435,0.9794293866114736,0.056193911530271534
alpha007,0.009369540068630356,0.06628078237703171,0.004745611664533857,0.6021130269884039,0.2171268513570058,0.7828731486429942,0.05601372727524036
alpha020,0.011911340086900923,0.08480716635340954,-0.0005298940184889332,0.7882529521719583,0.061338697054389234,0.9386613029456108,0.05415531796111034
alpha023,-0.01269889884761375,-0.04217977161418657,0.005771957168318844,0.34210144927536235,0.3243238765830829,0.6756761234169171,0.05414965864652466
alpha098,-0.0113376198680733,-0.037070274103298474,-0.0007561109367238161,0.30114130434782604,0.39425870042423217,0.6057412995757678,0.048666803365400656
alpha028,-0.012769893473867222,-0.09510009950758994,-0.0011214447590416924,0.6866189199216247,0.035413712521286146,0.9645862874787139,0.028401686314245195
alpha051,-0.010089738466344656,-0.08089502807473777,-0.0042714059591828476,0.6779863461940098,0.07425755087181624,0.9257424491281838,0.025950747759727638
alpha049,-0.010538924036715035,-0.08587069765317235,-0.0022576578867941613,0.709863087809035,0.058168692887887515,0.9418313071121125,0.021839706860784847
alpha022,-0.018696816866600734,-0.2025538783104078,-0.0013785481600903794,0.6392269805110712,2.9188663680811496e-05,0.9999708113363192,0.01656038273877941
alpha045,-0.009184796751652412,-0.09834059407151294,-0.0006737737071110046,0.7472291114902715,0.04450263551496817,0.9554973644850319,0.014637548151738539
alpha035,-0.01927877741602548,-0.12147641692102705,-0.0011385785509261657,0.7526432434004708,0.01608599274231418,0.9839140072576859,0.010837638476994621
alpha001,0.006949005570793461,0.03559809056769553,0.020523403040121624,0.5837903203799593,0.44457259105116076,0.5554274089488392,0.00906887235642255
alpha008,0.006404622910335585,0.03401322477750661,6.600931739270387e-05,0.5499303268827598,0.47244338460065005,0.52755661539935,0.005642921488757113
alpha047,-0.026893910157723123,-0.18383047018223111,-0.0014859667895999883,0.7157935434706969,0.0001446839557763832,0.9998553160442236,0.003834066071796788
alpha092,-0.003149344707890522,-0.03653884615544682,-0.004314756131855653,0.4892391304347827,0.4642294562192051,0.5357705437807949,-0.001478716273003014
alpha055,0.0032267840603485624,0.03284294424997791,0.0003075162887620559,0.587554347826087,0.4820166632283499,0.5179833367716501,-0.004835266875553329
alpha043,-0.009991557345330086,-0.06734285360812463,-0.0014793053289655252,0.7669257494434928,0.19123194522689804,0.808768054773102,-0.011261002738234938
alpha009,-0.00622625118403656,-0.05580982518525636,-0.00024573079318496844,0.7614745119616364,0.2177440344936905,0.7822559655063095,-0.011401874542025625
alpha024,0.0034390264371554177,0.028343884592043886,-0.0003953286189487011,0.5798009868006269,0.533631081063066,0.466368918936934,-0.014819751539228473
alpha017,0.007146125771349064,0.0474390507672061,-0.0011271732720505865,0.8278090006420697,0.32978338842677757,0.6702166115732224,-0.018097618333540788
alpha004,0.0027101386761410736,0.01792339081778368,0.0005559211344329809,0.5411820468428389,0.6983834696360496,0.3016165303639504,-0.042643536695409906
alpha060,0.004416662346854088,0.03055767643542025,0.0012871321177755875,0.7739129855158519,0.5102602508634121,0.4897397491365879,-0.0478336361567291
alpha025,0.005714649982588669,0.03233112731357719,-0.001028864473170379,0.7883974128513782,0.5004674599476415,0.4995325400523585,-0.04846730313039656
alpha037,-0.005949932651216246,-0.03320235297898943,-0.0016859301560749156,0.7685306227675409,0.46180019528780025,0.5381998047121997,-0.05619142104983463
alpha038,0.0039846267116929795,0.02339914562038037,-0.0006011062931342314,0.7039754217690444,0.6140962934777519,0.38590370652224815,-0.05688862122496777
alpha029,-0.00603681097795464,-0.03578697643495368,-0.000800296172926827,0.8119586915257695,0.44364873684900297,0.556351263150997,-0.06173749176276695
alpha034,0.004109489243716013,0.026763095956714153,-0.00024309838569740102,0.8081789954549832,0.5542441541408089,0.44575584585919115,-0.06481510329619035
alpha085,-0.0007211796240611968,-0.0023657029945762333,-0.002017607677329519,0.3637318840579711,0.9557757272632824,0.044224272736717585,-0.06507676445437596
alpha046,-0.0021951860716815587,-0.015034452510947222,8.234427419013586e-05,0.5767708615680445,0.7396831703885257,0.2603168296114743,-0.0675817471821332
alpha030,0.00222350667960574,0.014932805371582121,0.0009864190055630913,0.6634432514560292,0.7556093522888995,0.24439064771110053,-0.07932415893507616
alpha002,0.0005152595723008854,0.005556827708363223,0.0002317449843544139,0.5470289855072464,0.9025517841243579,0.09744821587564212,-0.08835178310928396
alpha033,-0.003645678456663302,-0.019384690021432505,-0.0016416514567645798,0.8103807169337295,0.6674037604546181,0.33259623954538187,-0.10164281788854641
alpha010,0.0017417362418080612,0.010946086511124515,0.00028472869869330426,0.7604949277010656,0.8088395573822895,0.19116044261771048,-0.11063799558869924
alpha083,0.00037177695733082826,0.002847338722959962,0.0010495104366655024,0.6513575355374095,0.9515431834565544,0.04845681654344558,-0.11956546279138698
alpha101,0.001728734561752741,0.009862488005296445,0.0003845857393757963,0.8226212423685496,0.826927465924367,0.17307253407563306,-0.12693501886894587
alpha073,-2.070768930999741e-06,-1.2198527714253706e-05,-0.0013470756275885838,0.6602357413111547,0.9997978203517066,0.00020217964829338797,-0.1322796947822513
alpha012,0.000149856220734574,0.0015184476531284027,-0.0007927453004691314,0.7260824388235945,0.9732274302764774,0.0267725697235226,-0.13960344691164248
alpha053,0.00014015623285490992,0.0018190858372930643,0.0007273447678662913,0.8347126023364196,0.9687266697400896,0.031273330259910415,-0.16005257494419162
