date,asset,score
2024-10-08,000001.SZ,-0.7158996095846333
2024-10-09,000001.SZ,-0.5648877187482831
2024-10-10,000001.SZ,-0.41254180005956265
2024-10-11,000001.SZ,-0.16974629257873047
2024-10-14,000001.SZ,-0.20877870768523682
2024-10-15,000001.SZ,-0.3762344121707035
2024-10-16,000001.SZ,-0.47376574158348417
2024-10-17,000001.SZ,-0.5046354132774019
2024-10-18,000001.SZ,-0.23992031259625338
2024-10-21,000001.SZ,-0.22469981850870274
2024-10-22,000001.SZ,-0.13956964883802359
2024-10-23,000001.SZ,-0.2508974400451094
2024-10-24,000001.SZ,-0.48118066010490823
2024-10-25,000001.SZ,-0.5778963790866154
2024-10-28,000001.SZ,-0.46321871805208525
2024-10-29,000001.SZ,-0.39984403531023216
2024-10-30,000001.SZ,-0.30400096978868724
2024-10-31,000001.SZ,-0.55369055786469
2024-11-01,000001.SZ,-0.6095652055981661
2024-11-04,000001.SZ,-0.6686874390579642
2024-11-05,000001.SZ,-0.4983353072548508
2024-11-06,000001.SZ,-0.477434813589478
2024-11-07,000001.SZ,-0.49579827197981013
2024-11-08,000001.SZ,-0.6645473282517906
2024-11-11,000001.SZ,-0.6984641695496383
2024-11-12,000001.SZ,-0.5694791550508391
2024-11-13,000001.SZ,-0.3612820797041283
2024-11-14,000001.SZ,-0.21204985633702045
2024-11-15,000001.SZ,-0.11106733608236019
2024-11-18,000001.SZ,-0.3581462604780611
2024-11-19,000001.SZ,-0.5431339374394438
2024-11-20,000001.SZ,-0.6023119921732185
2024-11-21,000001.SZ,-0.6644426102897671
2024-11-22,000001.SZ,-0.6853085975992057
2024-11-25,000001.SZ,-0.7370638882129998
2024-11-26,000001.SZ,-0.6033868926727146
2024-11-27,000001.SZ,-0.5607457762912402
2024-11-28,000001.SZ,-0.6338248517196874
2024-11-29,000001.SZ,-0.6977417876985568
2024-12-02,000001.SZ,-0.676768744231929
2024-12-03,000001.SZ,-0.4677563714557319
2024-12-04,000001.SZ,-0.46509135543377134
2024-12-05,000001.SZ,-0.3478904736730346
2024-12-06,000001.SZ,-0.3308513857546335
2024-12-09,000001.SZ,-0.14659490121962937
2024-12-10,000001.SZ,-0.21337443104647152
